TieuDe,TacGia,ChiTiet
Nghiên cứu hệ thống cây xanh ở Trường Trung Cấp Nông Lâm Nghiệp Bình Dương,['Đinh Thanh Sang'],"Tập 54, Số 7 (2018) Trang: 57-65 "
Cải thiện chất lượng của tổ hợp lai OM5451/pokkali bằng phương pháp lai hồi giao,"['Nguyễn Thị Mỹ Duyên', 'Vũ Anh Pháp', 'Tran Thị Bích Xuân', 'Trần Thị Cúc Hòa']","Tập 54, Số 7 (2018) Trang: 6-12 "
"Ảnh hưởng của việc bón bã cà phê tươi lên sinh trưởng, năng suất một số cây trồng và đặc tính sinh học đất giồng cát (arenosols) từ huyện Tiểu Cần - tỉnh Trà Vinh trong điều kiện nhà lưới","['Nguyễn Khởi Nghĩa', 'Võ Thị Ngọc Cẩm']","Tập 54, Số 7 (2018) Trang: 60-69 "
Phát triển công nghệ chưng cất màng tiếp xúc trực tiếp dạng nhúng chìm để xử lý nước nhiễm mặn,"['Ngô Thị Trà My', 'Bùi Xuân Thành', 'Nguyễn Thị Hậu', 'Nguyễn Công Nguyên']","Tập 54, Số 7 (2018) Trang: 66-71 "
Ảnh hưởng của biện pháp tưới khô ngập luân phiên đến khả năng cung cấp đạm trong đất và năng suất lúa tại huyện Hòa Bình tỉnh Bạc Liêu,"['Nguyễn Minh Đông', 'Nguyễn Đỗ Châu Giang', 'Châu Minh Khôi', 'Nguyễn Văn Quí']","Tập 54, Số 7 (2018) Trang: 70-78 "
Bước đầu nghiên cứu thành phần hóa học và tác dụng kháng viêm in vitro của lá khế (Averrhoa carambola L.),"['Huỳnh Anh Duy', 'Nguyễn Thị Tuyết Nhi']","Tập 54, Số 7 (2018) Trang: 72-76 "
Điều chế hạt nano vàng sử dụng chất khử trong lá trà định hướng ứng dụng trong mỹ phẩm,"['Nguyễn Ngọc Khánh Anh', 'Nguyễn Thị Tuyết Nhung', 'Nguyễn Thị Diễm Hương']","Tập 54, Số 7 (2018) Trang: 77-84 "
Hiện trạng hệ vi sinh vật phân giải lân trên một số loại đất phù sa trồng lúa nước vùng đồng bằng sông Hồng,"['Nguyễn Tú Điệp', 'Cao Kỳ Sơn', 'Đinh Hồng Duyên']","Tập 54, Số 7 (2018) Trang: 79-85 "
Khả năng kháng oxy hóa và bảo vệ tế bào MIN6 tụy tạng của dịch trích methanol lá xoài non (Mangifera indica L.),"['Nguyen Thi Ai Lan', 'Đái Thị Xuân Trang']","Tập 54, Số 7 (2018) Trang: 85-93 "
Đa dạng di truyền của cá hường (Helostoma temminckii) ở Đồng bằng sông Cửu Long,"['Dương Thúy Yên', 'Trần Đắc Định', 'Tiêu Văn Út', 'Nguyễn Phương Thảo']","Tập 54, Số 7 (2018) Trang: 86-93 "
Bộ điều khiển PID dựa trên mạng nơ-ron hàm cơ sở xuyên tâm,"['Huỳnh Thế Hiển', 'Nguyễn Hoàng Dũng', 'Huỳnh Minh Vũ']","Tập 54, Số 7 (2018) Trang: 9-19 "
Khảo sát khả năng bảo vệ gan của cao methanol lá Mơ Leo (Paederia scandens L.) trên chuột tổn thương gan bằng carbon tetrachloride,"['Phan Kim Định', 'Đái Thị Xuân Trang', 'Nguyễn Trọng Tuân', 'Nguyễn Thị Thanh Lan']","Tập 54, Số 7 (2018) Trang: 94-100 "
Thực nghiệm nuôi tôm thẻ chân trắng (Litopenaeus vannamei) trong bể với các mật độ khác nhau theo công nghệ biofloc,"['Lê Quốc Việt', 'Trần Ngọc Hải']","Tập 54, Số 7 (2018) Trang: 94-101 "
